section,stack_no,process,diameter,sampling_month_year,stack_temperature,oxygen_pct,gas_velocity,flow_rate,dust_emission_actual_o2,dust_emission_rate,operation_hour,dust_emission_total,report_month
Dust/ Bụi,Sấy phun 1,,,2/12/2019,84.3,,,1416.6666666666667,41.0,3.485,452.0,1575.22,Jan
Dust/ Bụi,Sấy phun 1,,,2/12/2019,84.3,,,1416.6666666666667,41.0,3.485,0.0,0.0,Feb
Dust/ Bụi,Sấy phun 1,,,2/12/2019,84.3,,,1416.6666666666667,41.0,3.485,593.0,2066.605,Mar
Dust/ Bụi,Sấy phun 1,,,3/4/2020,82.3,,,1416.6666666666667,52.5,4.4625,671.0,2994.3375,Apr
Dust/ Bụi,Sấy phun 1,,,3/4/2020,82.3,,,1416.6666666666667,52.5,4.4625,689.0,3074.6625000000004,May
Dust/ Bụi,Sấy phun 1,,,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,673.0,2436.9330000000004,Jun
Dust/ Bụi,Sấy phun 1,,,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,714.0,2585.3940000000002,Jul
Dust/ Bụi,Sấy phun 1,,,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,637.0,2306.577,Aug
Dust/ Bụi,Sấy phun 1,,,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,466.0,1687.3860000000002,Sep
Dust/ Bụi,Sấy phun 1,,,20/8/2020,96.2,,,1416.6666666666667,43.4,3.689,680.0,2508.52,Oct
Dust/ Bụi,Sấy phun 1,,,20/8/2020,96.2,,,1416.6666666666667,43.4,3.689,683.0,2519.587,Nov
Dust/ Bụi,Sấy phun 1,,,20/8/2020,96.2,,,1416.6666666666667,43.4,3.689,660.0,2434.7400000000002,Dec
Dust/ Bụi,Sấy phun 2,,,2/12/2019,87.1,,,1416.6666666666667,43.0,3.6550000000000002,400.0,1462.0,Jan
Dust/ Bụi,Sấy phun 2,,,2/12/2019,87.1,,,1416.6666666666667,43.0,3.6550000000000002,424.0,1549.72,Feb
Dust/ Bụi,Sấy phun 2,,,2/12/2019,87.1,,,1416.6666666666667,43.0,3.6550000000000002,654.0,2390.3700000000003,Mar
Dust/ Bụi,Sấy phun 2,,,3/4/2020,71.9,,,1416.6666666666667,48.9,4.1565,475.0,1974.3375,Apr
Dust/ Bụi,Sấy phun 2,,,3/4/2020,71.9,,,1416.6666666666667,48.9,4.1565,499.7,2077.0030500000003,May
Dust/ Bụi,Sấy phun 2,,,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,513.6,1907.7672000000005,Jun
Dust/ Bụi,Sấy phun 2,,,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,611.0,2269.5595000000003,Jul
Dust/ Bụi,Sấy phun 2,,,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,531.0,1972.3995000000002,Aug
Dust/ Bụi,Sấy phun 2,,,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,621.0,2306.7045000000003,Sep
Dust/ Bụi,Sấy phun 2,,,20/8/2020,95.1,,,1416.6666666666667,42.3,3.5955,200.0,719.1,Oct
Dust/ Bụi,Sấy phun 2,,,20/8/2020,95.1,,,1416.6666666666667,42.3,3.5955,360.0,1294.3799999999999,Nov
Dust/ Bụi,Sấy phun 2,,,20/8/2020,95.1,,,1416.6666666666667,42.3,3.5955,436.0,1567.638,Dec
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,2/12/2019,153.2,,,173.33333333333334,52.0,0.5408,384.0,207.66719999999998,Jan
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,2/12/2019,153.2,,,173.33333333333334,52.0,0.5408,328.0,177.3824,Feb
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,2/12/2019,153.2,,,173.33333333333334,52.0,0.5408,744.0,402.35519999999997,Mar
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,3/4/2020,130.0,,,181.66666666666666,49.3,0.53737,720.0,386.9064,Apr
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,3/4/2020,130.0,,,181.66666666666666,49.3,0.53737,744.0,399.80328000000003,May
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,720.0,351.59039999999993,Jun
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,744.0,363.3100799999999,Jul
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,744.0,363.3100799999999,Aug
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,720.0,351.59039999999993,Sep
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,20/8/2020,121.5,,,154.0,45.1,0.41672400000000004,744.0,310.042656,Oct
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,20/8/2020,121.5,,,154.0,45.1,0.41672400000000004,720.0,300.04128000000003,Nov
Dust/ Bụi,"Ống khói lò nung xương 1,2",,,20/8/2020,121.5,,,154.0,45.1,0.41672400000000004,744.0,310.042656,Dec
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,2/12/2019,159.1,,,188.33333333333334,53.0,0.5989000000000001,416.0,249.14240000000004,Jan
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,2/12/2019,159.1,,,188.33333333333334,53.0,0.5989000000000001,448.0,268.3072,Feb
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,2/12/2019,159.1,,,188.33333333333334,53.0,0.5989000000000001,744.0,445.5816000000001,Mar
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,3/4/2020,120.1,,,186.66666666666666,53.2,0.59584,720.0,429.00480000000005,Apr
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,3/4/2020,120.1,,,186.66666666666666,53.2,0.59584,744.0,443.30496000000005,May
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,720.0,333.04319999999996,Jun
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,744.0,344.1446399999999,Jul
Dust/ Bụi,"Ống khói lò nung xương 3,4",,,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,744.0,344.1446399999999,Aug
