section,stack_no,process,report_month,sampling_date,stack_temperature,oxygen_pct,gas_velocity,flow_rate,emission_actual_o2,emission_rate,operation_hour,emission_total
Nox,Sấy phun 1,,Jan,2/12/2019,84.3,,,1416.6666666666667,4.4,0.37400000000000005,452.0,169.04800000000003
Nox,Sấy phun 1,,Feb,2/12/2019,84.3,,,1416.6666666666667,4.4,0.37400000000000005,0.0,0.0
Nox,Sấy phun 1,,Mar,2/12/2019,84.3,,,1416.6666666666667,4.4,0.37400000000000005,593.0,221.78200000000004
Nox,Sấy phun 1,,Apr,3/4/2020,82.3,,,1416.6666666666667,4.9,0.41650000000000004,671.0,279.47150000000005
Nox,Sấy phun 1,,May,3/4/2020,82.3,,,1416.6666666666667,4.9,0.41650000000000004,689.0,286.9685
Nox,Sấy phun 1,,Jun,8/6/2020,95.5,,,1416.6666666666667,70.3,5.9755,673.0,4021.5115
Nox,Sấy phun 1,,Jul,8/6/2020,95.5,,,1416.6666666666667,70.3,5.9755,714.0,4266.5070000000005
Nox,Sấy phun 1,,Aug,8/6/2020,95.5,,,1416.6666666666667,70.3,5.9755,637.0,3806.3935
Nox,Sấy phun 1,,Sep,8/6/2020,95.5,,,1416.6666666666667,70.3,5.9755,466.0,2784.583
Nox,Sấy phun 1,,Oct,20/8/2020,96.2,,,1416.6666666666667,71.6,6.086,680.0,4138.4800000000005
Nox,Sấy phun 1,,Nov,20/8/2020,96.2,,,1416.6666666666667,71.6,6.086,683.0,4156.738
Nox,Sấy phun 1,,Dec,20/8/2020,96.2,,,1416.6666666666667,71.6,6.086,660.0,4016.76
Nox,Sấy phun 2,,Jan,2/12/2019,87.1,,,1416.6666666666667,4.6,0.39099999999999996,400.0,156.39999999999998
Nox,Sấy phun 2,,Feb,2/12/2019,87.1,,,1416.6666666666667,4.6,0.39099999999999996,424.0,165.784
Nox,Sấy phun 2,,Mar,2/12/2019,87.1,,,1416.6666666666667,4.6,0.39099999999999996,654.0,255.71399999999997
Nox,Sấy phun 2,,Apr,3/4/2020,71.9,,,1416.6666666666667,4.6,0.39099999999999996,475.0,185.725
Nox,Sấy phun 2,,May,3/4/2020,71.9,,,1416.6666666666667,4.6,0.39099999999999996,499.7,195.38269999999997
Nox,Sấy phun 2,,Jun,8/6/2020,94.1,,,1416.6666666666667,68.7,5.839500000000001,513.6,2999.167200000001
Nox,Sấy phun 2,,Jul,8/6/2020,94.1,,,1416.6666666666667,68.7,5.839500000000001,611.0,3567.9345000000008
Nox,Sấy phun 2,,Aug,8/6/2020,94.1,,,1416.6666666666667,68.7,5.839500000000001,531.0,3100.7745000000004
Nox,Sấy phun 2,,Sep,8/6/2020,94.1,,,1416.6666666666667,68.7,5.839500000000001,621.0,3626.3295000000007
Nox,Sấy phun 2,,Oct,20/8/2020,95.1,,,1416.6666666666667,67.9,5.7715000000000005,200.0,1154.3000000000002
Nox,Sấy phun 2,,Nov,20/8/2020,95.1,,,1416.6666666666667,67.9,5.7715000000000005,360.0,2077.7400000000002
Nox,Sấy phun 2,,Dec,20/8/2020,95.1,,,1416.6666666666667,67.9,5.7715000000000005,436.0,2516.3740000000003
Nox,"Ống khói lò nung xương 1,2",,Jan,2/12/2019,153.2,,,173.33333333333334,5.1,0.05304,384.0,20.367359999999998
Nox,"Ống khói lò nung xương 1,2",,Feb,2/12/2019,153.2,,,173.33333333333334,5.1,0.05304,328.0,17.397119999999997
Nox,"Ống khói lò nung xương 1,2",,Mar,2/12/2019,153.2,,,173.33333333333334,5.1,0.05304,744.0,39.46176
Nox,"Ống khói lò nung xương 1,2",,Apr,3/4/2020,130.0,,,181.66666666666666,5.3,0.057769999999999995,720.0,41.59439999999999
Nox,"Ống khói lò nung xương 1,2",,May,3/4/2020,130.0,,,181.66666666666666,5.3,0.057769999999999995,744.0,42.98088
Nox,"Ống khói lò nung xương 1,2",,Jun,8/6/2020,119.3,,,181.66666666666666,71.4,0.77826,720.0,560.3471999999999
Nox,"Ống khói lò nung xương 1,2",,Jul,8/6/2020,119.3,,,181.66666666666666,71.4,0.77826,744.0,579.02544
Nox,"Ống khói lò nung xương 1,2",,Aug,8/6/2020,119.3,,,181.66666666666666,71.4,0.77826,744.0,579.02544
Nox,"Ống khói lò nung xương 1,2",,Sep,8/6/2020,119.3,,,181.66666666666666,71.4,0.77826,720.0,560.3471999999999
Nox,"Ống khói lò nung xương 1,2",,Oct,20/8/2020,121.5,,,154.0,72.7,0.6717480000000001,744.0,499.7805120000001
Nox,"Ống khói lò nung xương 1,2",,Nov,20/8/2020,121.5,,,154.0,72.7,0.6717480000000001,720.0,483.6585600000001
Nox,"Ống khói lò nung xương 1,2",,Dec,20/8/2020,121.5,,,154.0,72.7,0.6717480000000001,744.0,499.7805120000001
Nox,"Ống khói lò nung xương 3,4",,Jan,2/12/2019,159.1,,,188.33333333333334,4.6,0.05197999999999999,416.0,21.623679999999997
Nox,"Ống khói lò nung xương 3,4",,Feb,2/12/2019,159.1,,,188.33333333333334,4.6,0.05197999999999999,448.0,23.287039999999998
Nox,"Ống khói lò nung xương 3,4",,Mar,2/12/2019,159.1,,,188.33333333333334,4.6,0.05197999999999999,744.0,38.67311999999999
Nox,"Ống khói lò nung xương 3,4",,Apr,3/4/2020,120.1,,,186.66666666666666,5.6,0.06272,720.0,45.1584
Nox,"Ống khói lò nung xương 3,4",,May,3/4/2020,120.1,,,186.66666666666666,5.6,0.06272,744.0,46.66368
Nox,"Ống khói lò nung xương 3,4",,Jun,8/6/2020,120.6,,,186.66666666666666,69.5,0.7783999999999999,720.0,560.4479999999999
Nox,"Ống khói lò nung xương 3,4",,Jul,8/6/2020,120.6,,,186.66666666666666,69.5,0.7783999999999999,744.0,579.1295999999999
Nox,"Ống khói lò nung xương 3,4",,Aug,8/6/2020,120.6,,,186.66666666666666,69.5,0.7783999999999999,744.0,579.1295999999999
Nox,"Ống khói lò nung xương 3,4",,Sep,8/6/2020,120.6,,,186.66666666666666,69.5,0.7783999999999999,720.0,560.4479999999999
Nox,"Ống khói lò nung xương 3,4",,Oct,20/8/2020,122.7,,,158.33333333333334,68.9,0.6545500000000001,744.0,486.9852000000001
