section,stack_no,process,report_month,sampling_date,stack_temperature,oxygen_pct,gas_velocity,flow_rate,emission_actual_o2,emission_rate,operation_hour,emission_total
Sox/ Khí Sox,Sấy phun 1,,Jan,2/12/2019,84.3,,,1416.6666666666667,15.72,1.3362000000000003,452.0,603.9624000000001
Sox/ Khí Sox,Sấy phun 1,,Feb,2/12/2019,84.3,,,1416.6666666666667,15.72,1.3362000000000003,0.0,0.0
Sox/ Khí Sox,Sấy phun 1,,Mar,2/12/2019,84.3,,,1416.6666666666667,15.72,1.3362000000000003,593.0,792.3666000000002
Sox/ Khí Sox,Sấy phun 1,,Apr,3/4/2020,82.3,,,1416.6666666666667,18.0,1.53,671.0,1026.63
Sox/ Khí Sox,Sấy phun 1,,May,3/4/2020,82.3,,,1416.6666666666667,18.0,1.53,689.0,1054.17
Sox/ Khí Sox,Sấy phun 1,,Jun,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,673.0,5274.3009999999995
Sox/ Khí Sox,Sấy phun 1,,Jul,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,714.0,5595.6179999999995
Sox/ Khí Sox,Sấy phun 1,,Aug,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,637.0,4992.169
Sox/ Khí Sox,Sấy phun 1,,Sep,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,466.0,3652.042
Sox/ Khí Sox,Sấy phun 1,,Oct,20/8/2020,96.2,,,1416.6666666666667,94.2,8.007,680.0,5444.76
Sox/ Khí Sox,Sấy phun 1,,Nov,20/8/2020,96.2,,,1416.6666666666667,94.2,8.007,683.0,5468.781
Sox/ Khí Sox,Sấy phun 1,,Dec,20/8/2020,96.2,,,1416.6666666666667,94.2,8.007,660.0,5284.62
Sox/ Khí Sox,Sấy phun 2,,Jan,2/12/2019,87.1,,,1416.6666666666667,18.34,1.5589,400.0,623.56
Sox/ Khí Sox,Sấy phun 2,,Feb,2/12/2019,87.1,,,1416.6666666666667,18.34,1.5589,424.0,660.9736
Sox/ Khí Sox,Sấy phun 2,,Mar,2/12/2019,87.1,,,1416.6666666666667,18.34,1.5589,654.0,1019.5206
Sox/ Khí Sox,Sấy phun 2,,Apr,3/4/2020,71.9,,,1416.6666666666667,16.2,1.377,475.0,654.075
Sox/ Khí Sox,Sấy phun 2,,May,3/4/2020,71.9,,,1416.6666666666667,16.2,1.377,499.7,688.0869
Sox/ Khí Sox,Sấy phun 2,,Jun,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,513.6,4086.2016000000003
Sox/ Khí Sox,Sấy phun 2,,Jul,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,611.0,4861.116
Sox/ Khí Sox,Sấy phun 2,,Aug,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,531.0,4224.636
Sox/ Khí Sox,Sấy phun 2,,Sep,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,621.0,4940.676
Sox/ Khí Sox,Sấy phun 2,,Oct,20/8/2020,95.1,,,1416.6666666666667,94.7,8.0495,200.0,1609.9
Sox/ Khí Sox,Sấy phun 2,,Nov,20/8/2020,95.1,,,1416.6666666666667,94.7,8.0495,360.0,2897.82
Sox/ Khí Sox,Sấy phun 2,,Dec,20/8/2020,95.1,,,1416.6666666666667,94.7,8.0495,436.0,3509.582
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Jan,2/12/2019,153.2,,,173.33333333333334,83.84,0.8719360000000002,384.0,334.82342400000005
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Feb,2/12/2019,153.2,,,173.33333333333334,83.84,0.8719360000000002,328.0,285.99500800000004
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Mar,2/12/2019,153.2,,,173.33333333333334,83.84,0.8719360000000002,744.0,648.7203840000001
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Apr,3/4/2020,130.0,,,181.66666666666666,89.1,0.9711899999999999,720.0,699.2567999999999
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,May,3/4/2020,130.0,,,181.66666666666666,89.1,0.9711899999999999,744.0,722.5653599999999
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Jun,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,720.0,719.6615999999999
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Jul,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,744.0,743.65032
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Aug,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,744.0,743.65032
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Sep,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,720.0,719.6615999999999
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Oct,20/8/2020,121.5,,,154.0,92.4,0.853776,744.0,635.209344
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Nov,20/8/2020,121.5,,,154.0,92.4,0.853776,720.0,614.71872
Sox/ Khí Sox,"Ống khói lò nung xương 1,2",,Dec,20/8/2020,121.5,,,154.0,92.4,0.853776,744.0,635.209344
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Jan,2/12/2019,159.1,,,188.33333333333334,84.71,0.957223,416.0,398.204768
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Feb,2/12/2019,159.1,,,188.33333333333334,84.71,0.957223,448.0,428.835904
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Mar,2/12/2019,159.1,,,188.33333333333334,84.71,0.957223,744.0,712.1739120000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Apr,3/4/2020,120.1,,,186.66666666666666,83.3,0.9329599999999999,720.0,671.7312
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,May,3/4/2020,120.1,,,186.66666666666666,83.3,0.9329599999999999,744.0,694.1222399999999
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Jun,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,720.0,768.4992000000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Jul,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,744.0,794.11584
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Aug,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,744.0,794.11584
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Sep,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,720.0,768.4992000000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Oct,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,744.0,679.2348000000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Nov,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,720.0,657.3240000000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Dec,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,744.0,679.2348000000001
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Jan,2/12/2019,146.5,,,175.5,80.19,0.8444007,424.0,358.0258968
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Feb,2/12/2019,146.5,,,175.5,80.19,0.8444007,0.0,0.0
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Mar,2/12/2019,146.5,,,175.5,80.19,0.8444007,624.0,526.9060368
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Apr,3/4/2020,145.9,,,175.0,91.2,0.9576,720.0,689.472
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,May,3/4/2020,145.9,,,175.0,91.2,0.9576,744.0,712.4544
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Jun,8/6/2020,117.5,,,175.0,92.7,0.97335,720.0,700.812
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Jul,8/6/2020,117.5,,,175.0,92.7,0.97335,744.0,724.1724
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Aug,8/6/2020,117.5,,,175.0,92.7,0.97335,744.0,724.1724
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Sep,8/6/2020,117.5,,,175.0,92.7,0.97335,720.0,700.812
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Oct,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,744.0,813.02088
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Nov,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,720.0,786.7944
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Dec,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,744.0,813.02088
Sox/ Khí Sox,Ống khói lò nung men số 1,,Jan,29/9/2019,157.3,,,168.66666666666666,6.38,0.06456559999999999,384.0,24.793190399999993
Sox/ Khí Sox,Ống khói lò nung men số 1,,Feb,29/9/2019,157.3,,,168.66666666666666,6.38,0.06456559999999999,328.0,21.177516799999996
Sox/ Khí Sox,Ống khói lò nung men số 1,,Mar,29/9/2019,157.3,,,168.66666666666666,6.38,0.06456559999999999,744.0,48.03680639999999
Sox/ Khí Sox,Ống khói lò nung men số 1,,Apr,3/4/2020,152.3,,,178.33333333333334,93.1,0.9961699999999999,720.0,717.2424
