category,Stack No.,period,variable,unit,Sampling,value
Dust,Spray Dryer 1,Jan,Diameter,m,2019-12-02,1.3
Dust,Spray Dryer 1,Jan,Stack Temperature,๐C,2019-12-02,84.3
Dust,Spray Dryer 1,Jan,%Oxygen,%,2019-12-02,0.0
Dust,Spray Dryer 1,Jan,Gas Velocity,m/s,2019-12-02,0.0
Dust,Spray Dryer 1,Jan,Flow rate,m3/min,2019-12-02,1416.666667
Dust,Spray Dryer 1,Jan,Dust Emission Actual O2,mg/m3,2019-12-02,41.0
Dust,Spray Dryer 1,Jan,Dust Emission rate,kg/hr,2019-12-02,3.485
Dust,Spray Dryer 1,Jan,Operation Hour,hr,2019-12-02,452.0
Dust,Spray Dryer 1,Jan,Dust Emission,kg,2019-12-02,1575.22
Dust,Spray Dryer 1,Feb,Stack Temperature,๐C,2019-12-02,84.3
Dust,Spray Dryer 1,Feb,%Oxygen,%,2019-12-02,0.0
Dust,Spray Dryer 1,Feb,Gas Velocity,m/s,2019-12-02,0.0
Dust,Spray Dryer 1,Feb,Flow rate,m3/min,2019-12-02,1416.666667
Dust,Spray Dryer 1,Feb,Dust Emission Actual O2,mg/m3,2019-12-02,41.0
Dust,Spray Dryer 1,Feb,Dust Emission rate,kg/hr,2019-12-02,3.485
Dust,Spray Dryer 1,Feb,Operation Hour,hr,2019-12-02,0.0
Dust,Spray Dryer 1,Feb,Dust Emission,kg,2019-12-02,0.0
Dust,Spray Dryer 1,Mar,Stack Temperature,๐C,2019-12-02,84.3
Dust,Spray Dryer 1,Mar,%Oxygen,%,2019-12-02,0.0
Dust,Spray Dryer 1,Mar,Gas Velocity,m/s,2019-12-02,0.0
Dust,Spray Dryer 1,Mar,Flow rate,m3/min,2019-12-02,1416.666667
Dust,Spray Dryer 1,Mar,Dust Emission Actual O2,mg/m3,2019-12-02,41.0
Dust,Spray Dryer 1,Mar,Dust Emission rate,kg/hr,2019-12-02,3.485
Dust,Spray Dryer 1,Mar,Operation Hour,hr,2019-12-02,593.0
Dust,Spray Dryer 1,Mar,Dust Emission,kg,2019-12-02,2066.605
Dust,Spray Dryer 1,Apr,Stack Temperature,๐C,2020-04-03,82.3
Dust,Spray Dryer 1,Apr,%Oxygen,%,2020-04-03,0.0
Dust,Spray Dryer 1,Apr,Gas Velocity,m/s,2020-04-03,0.0
Dust,Spray Dryer 1,Apr,Flow rate,m3/min,2020-04-03,1416.666667
Dust,Spray Dryer 1,Apr,Dust Emission Actual O2,mg/m3,2020-04-03,52.5
Dust,Spray Dryer 1,Apr,Dust Emission rate,kg/hr,2020-04-03,4.4625
Dust,Spray Dryer 1,Apr,Operation Hour,hr,2020-04-03,671.0
Dust,Spray Dryer 1,Apr,Dust Emission,kg,2020-04-03,2994.3375
Dust,Spray Dryer 1,May,Stack Temperature,๐C,2020-04-03,82.3
Dust,Spray Dryer 1,May,%Oxygen,%,2020-04-03,0.0
Dust,Spray Dryer 1,May,Gas Velocity,m/s,2020-04-03,0.0
Dust,Spray Dryer 1,May,Flow rate,m3/min,2020-04-03,1416.666667
Dust,Spray Dryer 1,May,Dust Emission Actual O2,mg/m3,2020-04-03,52.5
Dust,Spray Dryer 1,May,Dust Emission rate,kg/hr,2020-04-03,4.4625
Dust,Spray Dryer 1,May,Operation Hour,hr,2020-04-03,689.0
Dust,Spray Dryer 1,May,Dust Emission,kg,2020-04-03,3074.6625
Dust,Spray Dryer 1,Jun,Stack Temperature,๐C,2020-06-08,95.5
Dust,Spray Dryer 1,Jun,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 1,Jun,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 1,Jun,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 1,Jun,Dust Emission Actual O2,mg/m3,2020-06-08,42.6
Dust,Spray Dryer 1,Jun,Dust Emission rate,kg/hr,2020-06-08,3.621
Dust,Spray Dryer 1,Jun,Operation Hour,hr,2020-06-08,673.0
Dust,Spray Dryer 1,Jun,Dust Emission,kg,2020-06-08,2436.933
Dust,Spray Dryer 1,Jul,Stack Temperature,๐C,2020-06-08,95.5
Dust,Spray Dryer 1,Jul,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 1,Jul,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 1,Jul,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 1,Jul,Dust Emission Actual O2,mg/m3,2020-06-08,42.6
Dust,Spray Dryer 1,Jul,Dust Emission rate,kg/hr,2020-06-08,3.621
Dust,Spray Dryer 1,Jul,Operation Hour,hr,2020-06-08,714.0
Dust,Spray Dryer 1,Jul,Dust Emission,kg,2020-06-08,2585.394
Dust,Spray Dryer 1,Aug,Stack Temperature,๐C,2020-06-08,95.5
Dust,Spray Dryer 1,Aug,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 1,Aug,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 1,Aug,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 1,Aug,Dust Emission Actual O2,mg/m3,2020-06-08,42.6
Dust,Spray Dryer 1,Aug,Dust Emission rate,kg/hr,2020-06-08,3.621
Dust,Spray Dryer 1,Aug,Operation Hour,hr,2020-06-08,637.0
Dust,Spray Dryer 1,Aug,Dust Emission,kg,2020-06-08,2306.577
Dust,Spray Dryer 1,Sep,Stack Temperature,๐C,2020-06-08,95.5
Dust,Spray Dryer 1,Sep,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 1,Sep,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 1,Sep,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 1,Sep,Dust Emission Actual O2,mg/m3,2020-06-08,42.6
Dust,Spray Dryer 1,Sep,Dust Emission rate,kg/hr,2020-06-08,3.621
Dust,Spray Dryer 1,Sep,Operation Hour,hr,2020-06-08,466.0
Dust,Spray Dryer 1,Sep,Dust Emission,kg,2020-06-08,1687.386
Dust,Spray Dryer 1,Oct,Stack Temperature,๐C,2020-08-20,96.2
Dust,Spray Dryer 1,Oct,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 1,Oct,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 1,Oct,Flow rate,m3/min,2020-08-20,1416.666667
Dust,Spray Dryer 1,Oct,Dust Emission Actual O2,mg/m3,2020-08-20,43.4
Dust,Spray Dryer 1,Oct,Dust Emission rate,kg/hr,2020-08-20,3.689
Dust,Spray Dryer 1,Oct,Operation Hour,hr,2020-08-20,680.0
Dust,Spray Dryer 1,Oct,Dust Emission,kg,2020-08-20,2508.52
Dust,Spray Dryer 1,Nov,Stack Temperature,๐C,2020-08-20,96.2
Dust,Spray Dryer 1,Nov,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 1,Nov,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 1,Nov,Flow rate,m3/min,2020-08-20,1416.666667
Dust,Spray Dryer 1,Nov,Dust Emission Actual O2,mg/m3,2020-08-20,43.4
Dust,Spray Dryer 1,Nov,Dust Emission rate,kg/hr,2020-08-20,3.689
Dust,Spray Dryer 1,Nov,Operation Hour,hr,2020-08-20,683.0
Dust,Spray Dryer 1,Nov,Dust Emission,kg,2020-08-20,2519.587
Dust,Spray Dryer 1,Dec,Stack Temperature,๐C,2020-08-20,96.2
Dust,Spray Dryer 1,Dec,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 1,Dec,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 1,Dec,Flow rate,m3/min,2020-08-20,1416.666667
Dust,Spray Dryer 1,Dec,Dust Emission Actual O2,mg/m3,2020-08-20,43.4
Dust,Spray Dryer 1,Dec,Dust Emission rate,kg/hr,2020-08-20,3.689
Dust,Spray Dryer 1,Dec,Operation Hour,hr,2020-08-20,660.0
Dust,Spray Dryer 1,Dec,Dust Emission,kg,2020-08-20,2434.74
Dust,Spray Dryer 2,Jan,Diameter,m,2019-12-02,1.3
Dust,Spray Dryer 2,Jan,Stack Temperature,๐C,2019-12-02,87.1
Dust,Spray Dryer 2,Jan,%Oxygen,%,2019-12-02,0.0
Dust,Spray Dryer 2,Jan,Gas Velocity,m/s,2019-12-02,0.0
