Energy Consumption,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4,,,
Coal/ Than 5A (DV),Ton,1233.5220000000002,983,2414.661,2198.795,2197.301,2170.99,2442.916,2148.882,1718.913,1753.955,1649.3,2061.215,,4631.183,6567.085999999999,6310.711000000001,5464.47,,,
Coal/ Than 4A.1 (DV),Ton,443,251.25,543.069,88.335,774.19,319.418,508.88,630.609,444.559,18.9,113.76,369.092,,1237.319,1181.9430000000002,1584.048,501.75199999999995,,,
Coal/ Than import coal (DV) (than nhập khẩu),Ton,0,92.48,430.117,722.734,0,434.63,375.27,77.21,0,550.88,352.255,533.023,,522.597,1157.364,452.47999999999996,1436.158,,,
Than cám qua sàng / Than 5A under screen DV,Ton,114,88,206.339,209.205,204.699,201.01,188.848,204.034,133.775,153.045,156.7,175.785,,408.339,614.914,526.657,485.53,,,
Coal/ Than 5A (YB),Ton,0,0,0,,,,,,,,,,,0,0,0,0,,,
Coal/ Than 4A.1 (YB),Ton,0,0,0,,,,,,,,,27.62311448,,0,0,0,27.62311448,,,
Coal/ Than import coal (YB) (than nhập khẩu),Ton,0,0,0,,,,,,,,,,,0,0,0,0,,,
Than cám qua sàng / Than 5A under screen YB,Ton,0,0,0,,,,,,,,,,,0,0,0,0,,,
Coal/ Than 5A (DV+YB),Ton,1233.5220000000002,983,2414.661,2198.795,2197.301,2170.99,2442.916,2148.882,1718.913,1753.955,1649.3,2061.215,0,4631.183,6567.085999999999,6310.711000000001,5464.47,,,
Coal/ Than 4A.1 (DV+YB),Ton,443,251.25,543.069,88.335,774.19,319.418,508.88,630.609,444.559,18.9,113.76,396.71511448,0,1237.319,1181.9430000000002,1584.048,529.37511448,,,
Coal/ Than import coal (DV+YB),Ton,0,92.48,430.117,722.734,0,434.63,375.27,77.21,0,550.88,352.255,533.023,0,522.597,1157.364,452.47999999999996,1436.158,,,
Coal/ Than  5A under screen  (DV+YB),Ton,114,88,206.339,209.205,204.699,201.01,188.848,204.034,133.775,153.045,156.7,175.785,0,408.339,614.914,526.657,485.53,0,,
Total Coal DV,Ton,1790.5220000000002,1414.73,3594.186,3219.069,3176.19,3126.048,3515.914,3060.735,2297.2470000000003,2476.78,2272.015,3139.1150000000002,0,6799.438,9521.307,8873.896,7887.909999999999,,,
Total Coal YB,Ton,0,0,0,0,0,0,0,0,0,0,0,27.62311448,0,0,0,0,27.62311448,,,
Total Coal,Ton,1790.5220000000002,1414.73,3594.186,3219.069,3176.19,3126.048,3515.914,3060.735,2297.2470000000003,2476.78,2272.015,3166.73811448,0,6391.099,8906.393,8347.239000000001,7430.00311448,,,
Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,,,
Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,,,
Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,,,
Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,,,
