category,name,original_name,unit,period,Month,value,has_data
Energy_Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Jan,1,1233.522,1
Energy_Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Jan,1,443.0,1
Energy_Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Jan,1,0.0,1
Energy_Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Jan,1,114.0,1
Energy_Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Jan,1,0.0,1
Energy_Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Jan,1,0.0,1
Energy_Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Jan,1,0.0,1
Energy_Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Jan,1,0.0,1
Energy_Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Jan,1,1233.522,1
Energy_Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Jan,1,443.0,1
Energy_Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Jan,1,0.0,1
Energy_Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Jan,1,114.0,1
Energy_Consumption,Total Coal DV,Total Coal DV,Ton,Jan,1,1790.522,1
Energy_Consumption,Total Coal YB,Total Coal YB,Ton,Jan,1,0.0,1
Energy_Consumption,Total Coal,Total Coal,Ton,Jan,1,1790.522,1
Energy_Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Jan,1,7350.0,1
Energy_Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Jan,1,5780.0,1
Energy_Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Jan,1,5520.0,1
Energy_Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Jan,1,6810.0,1
Energy_Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Jan,1,6927.179,1
Energy_Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jan,1,9228477.402,1
Energy_Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jan,1,0.0,0
Energy_Consumption,Total Coal Gas,Total Coal Gas,Mcal,Jan,1,9228477.402,1
Energy_Consumption,Lignite,Lignite/ Than non,Ton,Jan,1,0.0,0
Energy_Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Jan,1,0.0,0
Energy_Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Jan,1,0.0,0
Energy_Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Jan,1,0.0,0
Energy_Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Jan,1,0.0,0
Energy_Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Jan,1,15330.0,1
Energy_Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Jan,1,0.0,1
Energy_Consumption,Steam,Steam/ Hơi nước,Ton,Jan,1,0.0,0
Energy_Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Jan,1,2.446,1
Energy_Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Jan,1,0.0,1
Energy_Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Jan,1,2.446,1
Energy_Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Jan,1,3000.0,1
Energy_Consumption,Electricity,Electricity/ Điện (DV),MWh,Jan,1,1214.69,1
Energy_Consumption,Electricity,Electricity/ Điện (YB),MWh,Jan,1,0.0,1
Energy_Consumption,Total Electricity,Total Electricity,MWh,Jan,1,1214.69,1
Energy_Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Jan,1,0.0,0
Energy_Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Jan,1,0.0,0
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Jan,1,52581.95,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Jan,1,0.0,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Jan,1,52581.95,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Jan,1,39261.565,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Jan,1,0.0,1
Energy_Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Jan,1,39261.565,1
Energy_Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Jan,1,4372.885,1
Energy_Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Jan,1,0.0,1
Energy_Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Jan,1,4372.885,1
Energy_Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Jan,1,30.717,1
Energy_Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Jan,1,0.0,1
Energy_Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Jan,1,30.717,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Jan,1,56954.835,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Jan,1,0.0,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Jan,1,56954.835,1
Energy_Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Jan,1,43634.45,1
Energy_Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Jan,1,0.0,1
Energy_Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Jan,1,43634.45,1
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Jan,1,5.927,1
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Jan,1,376.946,0
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Jan,1,5.927,1
Energy_Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Jan,1,4.541,1
Energy_Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Jan,1,0.09,0
Energy_Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Jan,1,4.541,1
Energy_Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Feb,2,983.0,1
Energy_Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Feb,2,251.25,1
Energy_Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Feb,2,92.48,1
Energy_Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Feb,2,88.0,1
Energy_Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Feb,2,0.0,1
Energy_Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Feb,2,0.0,1
Energy_Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Feb,2,0.0,1
Energy_Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Feb,2,0.0,1
Energy_Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Feb,2,983.0,1
Energy_Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Feb,2,251.25,1
Energy_Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Feb,2,92.48,1
Energy_Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Feb,2,88.0,1
Energy_Consumption,Total Coal DV,Total Coal DV,Ton,Feb,2,1414.73,1
Energy_Consumption,Total Coal YB,Total Coal YB,Ton,Feb,2,0.0,1
Energy_Consumption,Total Coal,Total Coal,Ton,Feb,2,1414.73,1
Energy_Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Feb,2,7350.0,1
Energy_Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Feb,2,5780.0,1
Energy_Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Feb,2,5520.0,1
Energy_Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Feb,2,6810.0,1
Energy_Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Feb,2,6917.959,1
Energy_Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Feb,2,4930580.023,1
Energy_Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Feb,2,0.0,0
Energy_Consumption,Total Coal Gas,Total Coal Gas,Mcal,Feb,2,4930580.023,1
Energy_Consumption,Lignite,Lignite/ Than non,Ton,Feb,2,0.0,0
Energy_Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Feb,2,0.0,0
Energy_Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Feb,2,0.0,0
Energy_Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Feb,2,0.0,0
Energy_Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Feb,2,0.0,0
Energy_Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Feb,2,17932.0,1
Energy_Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Feb,2,0.0,1
Energy_Consumption,Steam,Steam/ Hơi nước,Ton,Feb,2,0.0,0
Energy_Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Feb,2,18.544,1
Energy_Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Feb,2,0.0,1
Energy_Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Feb,2,18.544,1
Energy_Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Feb,2,3000.0,1
Energy_Consumption,Electricity,Electricity/ Điện (DV),MWh,Feb,2,885.069,1
Energy_Consumption,Electricity,Electricity/ Điện (YB),MWh,Feb,2,0.0,1
Energy_Consumption,Total Electricity,Total Electricity,MWh,Feb,2,885.069,1
Energy_Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Feb,2,0.0,0
Energy_Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Feb,2,0.0,0
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Feb,2,41854.528,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Feb,2,0.0,1
Energy_Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Feb,2,41854.528,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Feb,2,21292.491,1
Energy_Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Feb,2,21292.491,1
Energy_Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Feb,2,3186.248,1
Energy_Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Feb,2,3186.248,1
Energy_Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Feb,2,232.876,1
Energy_Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Feb,2,232.876,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Feb,2,45040.775,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Feb,2,0.0,1
Energy_Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Feb,2,45040.775,1
Energy_Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Feb,2,24478.739,1
Energy_Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Feb,2,0.0,1
Energy_Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Feb,2,24478.739,1
Energy_Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Feb,2,7.138,1
