Greenhouse Gas Emission,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4,,,
Diesel oil (Station)/ Dầu cho máy phát điện,Litre,2000,0,5500,2000,0,0,2000,0,4000,0,5000,18000,38500,7500,2000,6000,23000,,,
Acetylene (Station)/ Khí axetilen cho máy Oxi Axetilen,kg,,,,,,,,,,,,,0,0,0,0,0,,,
LPG for Welding (Station)/ Gas cho máy cắt Oxi Axetilen (hàn),kg,72,108,12,12,24,12,0,,,,36,0,276,192,48,0,36,,,
Calcium Carbonate ≥900OC (process)/ Bột CaCO3,ton,1185.21,903.63,2451.735,2133.495,2066.22,2160.795,2501.265,2094.69,1523.34,1624.155,1624.35,1872.75,22141.635,4540.575000000001,6360.51,6119.295,5121.255,,,
Anaerobic Wastewater: Average of flow,m3/day,,,,,,,,,,,,,,,,,,,,
"Anaerobic Wastewater: COD (Enter anaerobic zone)/ 
Nhu cầu Oxi để oxi hóa",mg COD/l,,,,,,,,,,,,,,,,,,,,
Anaerobic Wastewater: COD (Exit anaerobic zone),mg COD/l,,,,,,,,,,,,,,,,,,,,
Anaerobic Wastewater: Summary,kg CH4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Coal Gas CO2 Conversion factor (DV),kgCO2/Mcal,0.6201387004413336,0.9040831535903372,0.6111624584481254,0.6064481964241536,0.6357297662173417,0.6188288835030687,0.6183947009099551,0.6016525933646962,0.5804412020237325,0.6390978842993843,0.5798734996896888,0.6452806326246654,0.6231047838289486,0.6583055244056265,0.620150574716908,0.6022816319959022,0.6228097370295183,,,
Coal Gas CO2 Conversion factor(YB),kgCO2/Mcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
