category,name,original_name,unit,period,value
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Jan,1233.522
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Jan,443.0
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Jan,0.0
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Jan,114.0
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Jan,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Jan,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Jan,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Jan,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Jan,1233.522
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Jan,443.0
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Jan,0.0
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Jan,114.0
Energy Consumption,Total Coal DV,Total Coal DV,Ton,Jan,1790.522
Energy Consumption,Total Coal YB,Total Coal YB,Ton,Jan,0.0
Energy Consumption,Total Coal,Total Coal,Ton,Jan,1790.522
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Jan,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Jan,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Jan,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Jan,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Jan,6927.179
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jan,9228477.402
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jan,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,Jan,9228477.402
Energy Consumption,Lignite,Lignite/ Than non,Ton,Jan,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Jan,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Jan,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Jan,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Jan,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Jan,15330.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Jan,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,Jan,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Jan,2.446
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Jan,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Jan,2.446
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Jan,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,Jan,1214.69
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,Jan,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,Jan,1214.69
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Jan,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Jan,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Jan,52581.95
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Jan,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Jan,52581.95
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Jan,39261.565
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Jan,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Jan,39261.565
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Jan,4372.885
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Jan,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Jan,4372.885
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Jan,30.717
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Jan,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Jan,30.717
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Jan,56954.835
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Jan,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Jan,56954.835
