Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Production (DV Tile + YB Powder),unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4
Production (DV Tile) (Sản phẩm ĐV),ton,9609.931,6310.08093333333,17732.9734666667,15795.455366666702,16091.7997666667,16408.015833333302,18454.3238047619,16179.630247619,12136.7603666667,12464.84121625,12324.145550000001,15580.268823333301,169088.2263752976,33652.985400000034,48295.27096666671,46770.714419047596,40369.25558958331
Production (YB Powder) (bột bán cho Yên Bình),ton,0,0,0,0,0,,,,,,,423.66740000000004,423.66740000000004,0,0,0,423.66740000000004
Total Production (DV + YB),ton,9609.931,6310.08093333333,17732.9734666667,15795.455366666702,16091.7997666667,16408.015833333302,18454.3238047619,16179.630247619,12136.7603666667,12464.84121625,12324.145550000001,16003.936223333301,169511.89377529762,33652.985400000034,48295.27096666671,46770.714419047596,40792.922989583305
,,,,,,,,,,,,,,,,,,
Raw Material,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4
Limestone/ Đá vôi (canxit),ton,1185.21,903.63,2451.735,2133.495,2066.22,2160.795,2501.265,2094.69,1523.34,1624.155,1624.35,1872.75,22141.635,4540.575000000001,6360.51,6119.295,5121.255
Clay/ Đất sét,ton,6280.95,4812.6,13112.58,11433.24,11029.452,11323.65,13526.175,12506.465,8783.97,9729.72,9687.405,11518.615,123744.822,24206.129999999997,33786.342,34816.61,30935.739999999998
Sand/ Cát,ton,,,,,,,,,,,,,0,0,0,0,0
Gypsum/ Thạch cao,ton,,,,,,,,,,,,,0,0,0,0,0
Laterite/ Đá ong,ton,,,,,,,,,,,,,0,0,0,0,0
Cement/ Xi măng,ton,,,,,,,,,,,,,0,0,0,0,0
Feldspar,ton,696.15,772.2,1762.8,1414.14,1600.308,1814.67,2458.17,963.3,958.62,877.5,627.9,1141.7,15087.458,3231.1499999999996,4829.118,4380.09,2647.1000000000004
Aggregate/ Chất kết tụ,ton,,,,,,,,,,,,,0,0,0,0,0
Pottery Stone,ton,,,,,,,,,,,,,0,0,0,0,0
Glazing (Men ướt nhập VP quy khô),ton,611.66,593.122,1366.899,1232.648,1224.313,1274.894,1532.653,1223.418,908.336,1025.46,906.515,1268.747,13168.664999999997,2571.6809999999996,3731.8550000000005,3664.407,3200.7219999999998
"Recycled Mat/ Nguyên liệu tái sử dụng (gạch tái sử dụng+bột mài, bột liệu ép, xỉ than tái SD)",ton,625.13,364.14,1105.56,1051.7,989.6100000000001,1257.75,1428.32,1273.5349999999999,917.475,881.01,917.28,1021.9799999999999,11833.49,2094.83,3299.0600000000004,3619.3299999999995,2820.27
Others/ Nguyên liệu khác,ton,,,,,,,,,,,,,0,0,0,0,0
Total raw materials/ Tổng nguyên liệu,ton,9399.099999999999,7445.692000000001,19799.574000000004,17265.222999999998,16909.903,17831.759,21446.583,18061.408,13091.741,14137.845,13763.45,16823.792,185976.07,36644.36600000001,52006.884999999995,52599.731999999996,44725.087
% Alternative raw materials,%,0.06650955942590249,0.048906132566321564,0.05583756499003462,0.060914359461212875,0.05852251192688688,0.07053426417438684,0.06659895424832944,0.07051139091703149,0.07008044231855794,0.06231572067737339,0.066646080742837,0.060746114787914626,0.06362910023854144,0.05716649593555526,0.06343506249220658,0.06880890571837894,0.06305789857938118
