category,name,original_name,unit,period,Month,value,has_data
Raw_Material,Limestone,Limestone/ Đá vôi (canxit),ton,Jan,1,1185.21,1
Raw_Material,Clay,Clay/ Đất sét,ton,Jan,1,6280.95,1
Raw_Material,Sand,Sand/ Cát,ton,Jan,1,0.0,0
Raw_Material,Gypsum,Gypsum/ Thạch cao,ton,Jan,1,0.0,0
Raw_Material,Laterite,Laterite/ Đá ong,ton,Jan,1,0.0,0
Raw_Material,Cement,Cement/ Xi măng,ton,Jan,1,0.0,0
Raw_Material,Feldspar,Feldspar,ton,Jan,1,696.15,1
Raw_Material,Aggregate,Aggregate/ Chất kết tụ,ton,Jan,1,0.0,0
Raw_Material,Pottery Stone,Pottery Stone,ton,Jan,1,0.0,0
Raw_Material,Glazing,Glazing (Men ướt nhập VP quy khô),ton,Jan,1,611.66,1
Raw_Material,Recycled Mat,"Recycled Mat/ Nguyên liệu tái sử dụng (gạch tái sử dụng+bột mài, bột liệu ép, xỉ than tái SD)",ton,Jan,1,625.13,1
Raw_Material,Others,Others/ Nguyên liệu khác,ton,Jan,1,0.0,0
Raw_Material,Total raw materials,Total raw materials/ Tổng nguyên liệu,ton,Jan,1,9399.1,1
Raw_Material,% Alternative raw materials,% Alternative raw materials,%,Jan,1,0.067,1
Raw_Material,Limestone,Limestone/ Đá vôi (canxit),ton,Feb,2,903.63,1
Raw_Material,Clay,Clay/ Đất sét,ton,Feb,2,4812.6,1
Raw_Material,Sand,Sand/ Cát,ton,Feb,2,0.0,0
Raw_Material,Gypsum,Gypsum/ Thạch cao,ton,Feb,2,0.0,0
Raw_Material,Laterite,Laterite/ Đá ong,ton,Feb,2,0.0,0
Raw_Material,Cement,Cement/ Xi măng,ton,Feb,2,0.0,0
Raw_Material,Feldspar,Feldspar,ton,Feb,2,772.2,1
Raw_Material,Aggregate,Aggregate/ Chất kết tụ,ton,Feb,2,0.0,0
Raw_Material,Pottery Stone,Pottery Stone,ton,Feb,2,0.0,0
Raw_Material,Glazing,Glazing (Men ướt nhập VP quy khô),ton,Feb,2,593.122,1
Raw_Material,Recycled Mat,"Recycled Mat/ Nguyên liệu tái sử dụng (gạch tái sử dụng+bột mài, bột liệu ép, xỉ than tái SD)",ton,Feb,2,364.14,1
Raw_Material,Others,Others/ Nguyên liệu khác,ton,Feb,2,0.0,0
Raw_Material,Total raw materials,Total raw materials/ Tổng nguyên liệu,ton,Feb,2,7445.692,1
Raw_Material,% Alternative raw materials,% Alternative raw materials,%,Feb,2,0.049,1
Raw_Material,Limestone,Limestone/ Đá vôi (canxit),ton,Mar,3,2451.735,1
Raw_Material,Clay,Clay/ Đất sét,ton,Mar,3,13112.58,1
Raw_Material,Sand,Sand/ Cát,ton,Mar,3,0.0,0
Raw_Material,Gypsum,Gypsum/ Thạch cao,ton,Mar,3,0.0,0
