section,waste_category_en,report_month,incoming_stock,waste_generated,reuse_recycle,incineration,landfill
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Jan,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Feb,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Mar,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Apr,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,May,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Jun,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Jul,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Aug,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Sep,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Oct,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Nov,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Sludge/ Bùn,Dec,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Jan,0.0,1.92,1.92,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Feb,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Mar,0.0,1.4,1.4,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Apr,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",May,0.0,4.82,4.82,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Jun,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Jul,0.0,1.52,1.52,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Aug,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Sep,0.0,1.68,1.68,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Oct,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Nov,0.0,1.58,1.58,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Paper packaging/ Giấy bao bì, các loại giấy bỏ, cốt băng dính, bao bì catton, hộp catton",Dec,0.0,1.42,1.42,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Jan,0.0,0.58,0.58,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Feb,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Mar,0.0,0.26,0.26,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Apr,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",May,0.0,0.42,0.42,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Jun,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Jul,0.0,0.38,0.38,,
