Period,Waste Type,Unit,Recycled Waste,Disposed Waste
Jan,Kiln Tiles & Coal Slag,Ton,68.78,0
Jan,Paper Packaging,Ton,1.92,0
Jan,Plastic Packaging,Ton,0.58,0
Jan,Iron Waste,Ton,28.28,0
Feb,Used Oil,Ton,0,11.095
Feb,Contaminated Packaging,Ton,0.805,0
Feb,Kiln Tiles & Coal Slag,Ton,0,195.2
Feb,Iron Waste,Ton,14.96,0
Mar,Paper Packaging,Ton,1.4,0
Mar,Plastic Packaging,Ton,0.26,0
Mar,Rubber,Ton,2.76,0
Mar,Iron Waste,Ton,35,0
Mar,Broken Rollers,Ton,3.34,0
May,Paper Packaging,Ton,4.82,0
May,Plastic Packaging,Ton,0.42,0
May,Iron Waste,Ton,43.04,0
Jun,Contaminated Cloth,Ton,0,0.8
Jun,Contaminated Packaging,Ton,0.96,0
Jun,Iron Waste,Ton,9,0
Jun,Broken Rollers,Ton,1,0
Jul,Paper Packaging,Ton,1.52,0
Jul,Plastic Packaging,Ton,0.38,0
Aug,Used Oil,Ton,0,3.062
Aug,Contaminated Packaging,Ton,1.795,0
Aug,E-waste,Ton,0,0.076
Aug,Plastic Packaging,Ton,0.177,0
Sep,Paper Packaging,Ton,1.68,0
Sep,Plastic Packaging,Ton,0.38,0
Oct,Insulation Material,Ton,0,6.46
Nov,Paper Packaging,Ton,1.58,0
Nov,Plastic Packaging,Ton,0.22,0
Nov,Rubber,Ton,4.8,0
Dec,Paper Packaging,Ton,1.42,0
Dec,Plastic Packaging,Ton,0.24,0
