Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Water Withdrawal,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4
Surface water (Lake) (DV) (Nước mặt),m3,4987,3058,6675,6392,6393,6254,6934,6241,5438,6081,6741,7894,73088,14720,19039,18613,20716
Surface water (Lake) (YB) (Nước Mặt),m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface water (Lake) (DV+YB) (tổng nước mặt),m3,4987,3058,6675,6392,6393,6254,6934,6241,5438,6081,6741,7894,73088,14720,19039,18613,20716
Ground water (wells) (DV),m3,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
Tap wate (DV) (Nước sạch),m3,658,1198,1079,1292,631,1524,2083,1586,1369,1289,1726,1064,15499,2935,3447,5038,4079
Total Water Withdrawal (DV),m3,5645,4256,7754,7684,7024,7778,9017,7827,6807,7370,8467,8958,88587,17655,22486,23651,24795
Total Water Withdrawal (YB),m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Water Withdrawal (DV+YB),m3,5645,4256,7754,7684,7024,7778,9017,7827,6807,7370,8467,8958,88587,17655,22486,23651,24795
Specific Water Withdrawal (DV),m3/ton,0.5874131666502079,0.6744762935634405,0.4372645126084167,0.4864690394564767,0.4364956127871936,0.47403659766093076,0.4886117798406289,0.4837564196593321,0.5608580703871562,0.591263047169183,0.687025316736867,0.574957987026792,885.87,176.55,,,
Specific Water Withdrawal (YB),m3/ton,,,,,,,,,,,,0,0,,,,0
Specific Water Withdrawal (DV+YB),m3/ton,0.5874131666502079,0.6744762935634405,0.4372645126084167,0.4864690394564767,0.4364956127871936,0.47403659766093076,0.4886117798406289,0.4837564196593321,0.5608580703871562,0.591263047169183,0.687025316736867,0.5597372968119856,0.5226004973871012,0.5246191323043804,0.46559424038680286,0.5056796821210843,0.6078260193889891
,,,,,,,,,,,,,,,,,,
Water Recycle,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4
Water Recycle/ Nước tái sử dụng,m3,3047,2139,5669,5231,4453,4245,6172,5372,4704,4552,5187,5392,,10855,13929,16248,15131
,,,,,,,,,,,,,,,,,,
Ko có nước ngầm,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ko có nước ngầm,,, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,
,,Total Water Withdrawal,12839,6903,9043,11134,14106,13676,13709,12091,12437,10166,12485,0,,,,
,,Water Recycle/ Nước tái sử dụng,4254,1350,4198,4986,5449,4655,4177,5816,5681,5544,4951,,,,,
