category,name,original_name,unit,period,Month,value,has_data
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Jan,1,3047.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Feb,2,2139.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Mar,3,5669.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Apr,4,5231.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,May,5,4453.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Jun,6,4245.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Jul,7,6172.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Aug,8,5372.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Sep,9,4704.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Oct,10,4552.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Nov,11,5187.0,1
Water_Recycle,Water Recycle,Water Recycle/ Nước tái sử dụng,m3,Dec,12,5392.0,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Jan,1,4987.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Jan,1,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Jan,1,4987.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Jan,1,0.0,1
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Jan,1,658.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Jan,1,5645.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Jan,1,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Jan,1,5645.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Jan,1,0.587413,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Jan,1,0.0,0
