name,unit,period,value
Production (DV Tile),ton,Jan,9609.931
Production (YB Powder),ton,Jan,0.0
Production (DV Tile),ton,Feb,6310.08093333333
Production (YB Powder),ton,Feb,0.0
Production (DV Tile),ton,Mar,17732.9734666667
Production (YB Powder),ton,Mar,0.0
Production (DV Tile),ton,Apr,15795.455366666702
Production (YB Powder),ton,Apr,0.0
Production (DV Tile),ton,May,16091.7997666667
Production (YB Powder),ton,May,0.0
Production (DV Tile),ton,Jun,16408.015833333302
Production (YB Powder),ton,Jun,0.0
Production (DV Tile),ton,Jul,18454.3238047619
Production (YB Powder),ton,Jul,0.0
Production (DV Tile),ton,Aug,16179.630247619
Production (YB Powder),ton,Aug,0.0
Production (DV Tile),ton,Sep,12136.7603666667
Production (YB Powder),ton,Sep,0.0
Production (DV Tile),ton,Oct,12464.84121625
Production (YB Powder),ton,Oct,0.0
Production (DV Tile),ton,Nov,12324.14555
Production (YB Powder),ton,Nov,0.0
Production (DV Tile),ton,Dec,15580.2688233333
Production (YB Powder),ton,Dec,423.6674
Production (DV Tile),ton,YTD,169088.2263752976
Production (YB Powder),ton,YTD,423.6674
Production (DV Tile),ton,Q1,33652.985400000034
Production (YB Powder),ton,Q1,0.0
Production (DV Tile),ton,Q2,48295.27096666671
Production (YB Powder),ton,Q2,0.0
Production (DV Tile),ton,Q3,46770.7144190476
Production (YB Powder),ton,Q3,0.0
Production (DV Tile),ton,Q4,40369.25558958331
Production (YB Powder),ton,Q4,423.6674
