name,unit,period,value
Limestone,ton,Jan,1185.21
Clay,ton,Jan,6280.95
Sand,ton,Jan,0.0
Gypsum,ton,Jan,0.0
Laterite,ton,Jan,0.0
Cement,ton,Jan,0.0
Feldspar,ton,Jan,696.15
Aggregate,ton,Jan,0.0
Pottery Stone,ton,Jan,0.0
Glazing,ton,Jan,611.66
Recycled Mat,ton,Jan,625.13
Others,ton,Jan,0.0
Limestone,ton,Feb,903.63
Clay,ton,Feb,4812.6
Sand,ton,Feb,0.0
Gypsum,ton,Feb,0.0
Laterite,ton,Feb,0.0
Cement,ton,Feb,0.0
Feldspar,ton,Feb,772.2
Aggregate,ton,Feb,0.0
Pottery Stone,ton,Feb,0.0
Glazing,ton,Feb,593.122
Recycled Mat,ton,Feb,364.14
Others,ton,Feb,0.0
Limestone,ton,Mar,2451.735
Clay,ton,Mar,13112.58
Sand,ton,Mar,0.0
Gypsum,ton,Mar,0.0
Laterite,ton,Mar,0.0
Cement,ton,Mar,0.0
Feldspar,ton,Mar,1762.8
Aggregate,ton,Mar,0.0
Pottery Stone,ton,Mar,0.0
Glazing,ton,Mar,1366.899
Recycled Mat,ton,Mar,1105.56
Others,ton,Mar,0.0
Limestone,ton,Apr,2133.495
Clay,ton,Apr,11433.24
Sand,ton,Apr,0.0
Gypsum,ton,Apr,0.0
Laterite,ton,Apr,0.0
Cement,ton,Apr,0.0
Feldspar,ton,Apr,1414.14
Aggregate,ton,Apr,0.0
Pottery Stone,ton,Apr,0.0
Glazing,ton,Apr,1232.648
Recycled Mat,ton,Apr,1051.7
Others,ton,Apr,0.0
Limestone,ton,May,2066.22
Clay,ton,May,11029.452
Sand,ton,May,0.0
Gypsum,ton,May,0.0
Laterite,ton,May,0.0
Cement,ton,May,0.0
Feldspar,ton,May,1600.308
Aggregate,ton,May,0.0
Pottery Stone,ton,May,0.0
Glazing,ton,May,1224.313
Recycled Mat,ton,May,989.61
Others,ton,May,0.0
Limestone,ton,Jun,2160.795
Clay,ton,Jun,11323.65
Sand,ton,Jun,0.0
Gypsum,ton,Jun,0.0
Laterite,ton,Jun,0.0
Cement,ton,Jun,0.0
Feldspar,ton,Jun,1814.67
Aggregate,ton,Jun,0.0
Pottery Stone,ton,Jun,0.0
Glazing,ton,Jun,1274.894
Recycled Mat,ton,Jun,1257.75
Others,ton,Jun,0.0
Limestone,ton,Jul,2501.265
Clay,ton,Jul,13526.175
Sand,ton,Jul,0.0
Gypsum,ton,Jul,0.0
Laterite,ton,Jul,0.0
Cement,ton,Jul,0.0
Feldspar,ton,Jul,2458.17
Aggregate,ton,Jul,0.0
Pottery Stone,ton,Jul,0.0
Glazing,ton,Jul,1532.653
Recycled Mat,ton,Jul,1428.32
Others,ton,Jul,0.0
Limestone,ton,Aug,2094.69
Clay,ton,Aug,12506.465
Sand,ton,Aug,0.0
Gypsum,ton,Aug,0.0
Laterite,ton,Aug,0.0
Cement,ton,Aug,0.0
Feldspar,ton,Aug,963.3
Aggregate,ton,Aug,0.0
